INFO - 03/27/23 13:43:34 - 0:00:04 - checkpoint/mbart50/ur-en-23K/src_ref_pre.bin
INFO - 03/27/23 13:43:53 - 0:00:03 - checkpoint/mbart50/ur-en-23K/src_ref_pre.bin
INFO - 03/27/23 13:43:53 - 0:00:04 - load src_ref_pre three tuple over
INFO - 03/27/23 13:48:08 - 0:04:18 - 平均bule值为21.676482188829063
INFO - 03/27/23 13:48:08 - 0:04:18 - 经过bleu过滤之前23000
INFO - 03/27/23 13:48:08 - 0:04:18 - 经过过滤之后的14436
INFO - 03/27/23 13:48:08 - 0:04:18 - every thread process num of sentence 643, the last thread process num 649
INFO - 03/27/23 13:48:08 - 0:04:18 - 每次调用api处理的句子数9
INFO - 03/27/23 13:48:23 - 0:00:07 - 子进程5正在第0次调用api 已获取结果
INFO - 03/27/23 13:48:24 - 0:00:08 - 子进程2正在第0次调用api 已获取结果
INFO - 03/27/23 13:48:25 - 0:00:09 - 子进程8正在第0次调用api 已获取结果
INFO - 03/27/23 13:48:25 - 0:00:09 - 子进程3正在第0次调用api 已获取结果
INFO - 03/27/23 13:48:26 - 0:00:10 - 子进程9正在第0次调用api 已获取结果
INFO - 03/27/23 13:48:26 - 0:00:10 - 子进程4正在第0次调用api 已获取结果
INFO - 03/27/23 13:48:27 - 0:00:11 - 子进程5正在第1次调用api 已获取结果
INFO - 03/27/23 13:48:28 - 0:00:12 - 子进程1正在第0次调用api 已获取结果
INFO - 03/27/23 13:48:29 - 0:00:13 - 子进程0正在第0次调用api 已获取结果
INFO - 03/27/23 13:48:29 - 0:00:13 - 子进程7正在第0次调用api 已获取结果
INFO - 03/27/23 13:48:29 - 0:00:14 - 子进程5正在第2次调用api 已获取结果
INFO - 03/27/23 13:48:30 - 0:00:14 - 子进程2正在第1次调用api 已获取结果
INFO - 03/27/23 13:48:32 - 0:00:16 - 子进程6正在第0次调用api 已获取结果
INFO - 03/27/23 13:48:32 - 0:00:16 - 子进程8正在第1次调用api 已获取结果
INFO - 03/27/23 13:48:32 - 0:00:17 - 子进程3正在第1次调用api 已获取结果
INFO - 03/27/23 13:48:32 - 0:00:16 - 子进程9正在第1次调用api 已获取结果
INFO - 03/27/23 13:48:34 - 0:00:18 - 子进程5正在第3次调用api 已获取结果
INFO - 03/27/23 13:48:34 - 0:00:18 - 子进程4正在第1次调用api 已获取结果
INFO - 03/27/23 13:48:36 - 0:00:20 - 子进程2正在第2次调用api 已获取结果
INFO - 03/27/23 13:48:36 - 0:00:20 - 子进程5正在第4次调用api 已获取结果
INFO - 03/27/23 13:48:37 - 0:00:21 - 子进程9正在第2次调用api 已获取结果
INFO - 03/27/23 13:48:39 - 0:00:23 - 子进程8正在第2次调用api 已获取结果
INFO - 03/27/23 13:48:39 - 0:00:23 - 子进程5正在第5次调用api 已获取结果
INFO - 03/27/23 13:48:39 - 0:00:24 - 子进程3正在第2次调用api 已获取结果
INFO - 03/27/23 13:48:40 - 0:00:24 - 子进程7正在第1次调用api 已获取结果
INFO - 03/27/23 13:48:40 - 0:00:24 - 子进程1正在第1次调用api 已获取结果
INFO - 03/27/23 13:48:40 - 0:00:25 - 子进程2正在第3次调用api 已获取结果
INFO - 03/27/23 13:48:42 - 0:00:26 - 子进程5正在第6次调用api 已获取结果
INFO - 03/27/23 13:48:43 - 0:00:27 - 子进程0正在第1次调用api 已获取结果
INFO - 03/27/23 13:48:43 - 0:00:27 - 子进程9正在第3次调用api 已获取结果
INFO - 03/27/23 13:48:43 - 0:00:28 - 子进程4正在第2次调用api 已获取结果
INFO - 03/27/23 13:48:44 - 0:00:28 - 子进程6正在第1次调用api 已获取结果
INFO - 03/27/23 13:48:46 - 0:00:30 - 子进程2正在第4次调用api 已获取结果
INFO - 03/27/23 13:48:46 - 0:00:30 - 子进程5正在第7次调用api 已获取结果
INFO - 03/27/23 13:48:47 - 0:00:31 - 子进程7正在第2次调用api 已获取结果
INFO - 03/27/23 13:48:47 - 0:00:32 - 子进程3正在第3次调用api 已获取结果
INFO - 03/27/23 13:48:47 - 0:00:32 - 子进程1正在第2次调用api 已获取结果
INFO - 03/27/23 13:48:49 - 0:00:33 - 子进程8正在第3次调用api 已获取结果
INFO - 03/27/23 13:48:49 - 0:00:33 - 子进程2正在第5次调用api 已获取结果
INFO - 03/27/23 13:48:49 - 0:00:34 - 子进程5正在第8次调用api 已获取结果
INFO - 03/27/23 13:48:52 - 0:00:36 - 子进程9正在第4次调用api 已获取结果
INFO - 03/27/23 13:48:52 - 0:00:37 - 子进程0正在第2次调用api 已获取结果
INFO - 03/27/23 13:48:53 - 0:00:37 - 子进程4正在第3次调用api 已获取结果
INFO - 03/27/23 13:48:54 - 0:00:39 - 子进程5正在第9次调用api 已获取结果
INFO - 03/27/23 13:48:55 - 0:00:39 - 子进程7正在第3次调用api 已获取结果
INFO - 03/27/23 13:48:56 - 0:00:41 - 子进程1正在第3次调用api 已获取结果
INFO - 03/27/23 13:48:57 - 0:00:41 - 子进程3正在第4次调用api 已获取结果
INFO - 03/27/23 13:48:57 - 0:00:41 - 子进程6正在第2次调用api 已获取结果
INFO - 03/27/23 13:48:57 - 0:00:42 - 子进程5正在第10次调用api 已获取结果
INFO - 03/27/23 13:48:58 - 0:00:42 - 子进程2正在第6次调用api 已获取结果
INFO - 03/27/23 13:48:58 - 0:00:42 - 子进程8正在第4次调用api 已获取结果
INFO - 03/27/23 13:49:00 - 0:00:44 - 子进程5正在第11次调用api 已获取结果
INFO - 03/27/23 13:49:01 - 0:00:45 - 子进程9正在第5次调用api 已获取结果
INFO - 03/27/23 13:49:01 - 0:00:46 - 子进程4正在第4次调用api 已获取结果
INFO - 03/27/23 13:49:03 - 0:00:47 - 子进程0正在第3次调用api 已获取结果
INFO - 03/27/23 13:49:03 - 0:00:47 - 子进程5正在第12次调用api 已获取结果
INFO - 03/27/23 13:49:04 - 0:00:48 - 子进程7正在第4次调用api 已获取结果
INFO - 03/27/23 13:49:04 - 0:00:48 - 子进程3正在第5次调用api 已获取结果
INFO - 03/27/23 13:49:04 - 0:00:48 - 子进程2正在第7次调用api 已获取结果
INFO - 03/27/23 13:49:05 - 0:00:49 - 子进程8正在第5次调用api 已获取结果
INFO - 03/27/23 13:49:07 - 0:00:51 - 子进程9正在第6次调用api 已获取结果
INFO - 03/27/23 13:49:07 - 0:00:51 - 子进程1正在第4次调用api 已获取结果
INFO - 03/27/23 13:49:08 - 0:00:52 - 子进程5正在第13次调用api 已获取结果
INFO - 03/27/23 13:49:09 - 0:00:53 - 子进程6正在第3次调用api 已获取结果
INFO - 03/27/23 13:49:09 - 0:00:53 - 子进程4正在第5次调用api 已获取结果
INFO - 03/27/23 13:49:10 - 0:00:55 - 子进程3正在第6次调用api 已获取结果
INFO - 03/27/23 13:49:11 - 0:00:55 - 子进程8正在第6次调用api 已获取结果
INFO - 03/27/23 13:49:11 - 0:00:55 - 子进程5正在第14次调用api 已获取结果
INFO - 03/27/23 13:49:12 - 0:00:56 - 子进程2正在第8次调用api 已获取结果
INFO - 03/27/23 13:49:12 - 0:00:56 - 子进程7正在第5次调用api 已获取结果
INFO - 03/27/23 13:49:12 - 0:00:56 - 子进程0正在第4次调用api 已获取结果
INFO - 03/27/23 13:49:15 - 0:00:59 - 子进程4正在第6次调用api 已获取结果
INFO - 03/27/23 13:49:15 - 0:00:59 - 子进程5正在第15次调用api 已获取结果
INFO - 03/27/23 13:49:15 - 0:01:00 - 子进程8正在第7次调用api 已获取结果
INFO - 03/27/23 13:49:17 - 0:01:01 - 子进程9正在第7次调用api 已获取结果
INFO - 03/27/23 13:49:17 - 0:01:02 - 子进程1正在第5次调用api 已获取结果
INFO - 03/27/23 13:49:17 - 0:01:01 - 子进程2正在第9次调用api 已获取结果
INFO - 03/27/23 13:49:18 - 0:01:02 - 子进程5正在第16次调用api 已获取结果
INFO - 03/27/23 13:49:19 - 0:01:03 - 子进程0正在第5次调用api 已获取结果
INFO - 03/27/23 13:49:20 - 0:01:04 - 子进程3正在第7次调用api 已获取结果
INFO - 03/27/23 13:49:20 - 0:01:04 - 子进程8正在第8次调用api 已获取结果
INFO - 03/27/23 13:49:22 - 0:01:06 - 子进程5正在第17次调用api 已获取结果
INFO - 03/27/23 13:49:23 - 0:01:07 - 子进程2正在第10次调用api 已获取结果
INFO - 03/27/23 13:49:23 - 0:01:07 - 子进程7正在第6次调用api 已获取结果
INFO - 03/27/23 13:49:24 - 0:01:08 - 子进程9正在第8次调用api 已获取结果
INFO - 03/27/23 13:49:24 - 0:01:08 - 子进程5正在第18次调用api 已获取结果
INFO - 03/27/23 13:49:25 - 0:01:09 - 子进程6正在第4次调用api 已获取结果
INFO - 03/27/23 13:49:25 - 0:01:10 - 子进程4正在第7次调用api 已获取结果
INFO - 03/27/23 13:49:26 - 0:01:10 - 子进程8正在第9次调用api 已获取结果
INFO - 03/27/23 13:49:27 - 0:01:11 - 子进程0正在第6次调用api 已获取结果
INFO - 03/27/23 13:49:27 - 0:01:12 - 子进程1正在第6次调用api 已获取结果
INFO - 03/27/23 13:49:28 - 0:01:12 - 子进程5正在第19次调用api 已获取结果
INFO - 03/27/23 13:49:29 - 0:01:13 - 子进程3正在第8次调用api 已获取结果
INFO - 03/27/23 13:49:30 - 0:01:15 - 子进程2正在第11次调用api 已获取结果
INFO - 03/27/23 13:49:30 - 0:01:14 - 子进程5正在第20次调用api 已获取结果
INFO - 03/27/23 13:49:31 - 0:01:15 - 子进程7正在第7次调用api 已获取结果
INFO - 03/27/23 13:49:31 - 0:01:15 - 子进程9正在第9次调用api 已获取结果
INFO - 03/27/23 13:49:33 - 0:01:17 - 子进程8正在第10次调用api 已获取结果
INFO - 03/27/23 13:49:33 - 0:01:17 - 子进程5正在第21次调用api 已获取结果
INFO - 03/27/23 13:49:33 - 0:01:18 - 子进程0正在第7次调用api 已获取结果
INFO - 03/27/23 13:49:35 - 0:01:20 - 子进程4正在第8次调用api 已获取结果
INFO - 03/27/23 13:49:36 - 0:01:20 - 子进程5正在第22次调用api 已获取结果
INFO - 03/27/23 13:49:37 - 0:01:22 - 子进程2正在第12次调用api 已获取结果
INFO - 03/27/23 13:49:38 - 0:01:22 - 子进程7正在第8次调用api 已获取结果
INFO - 03/27/23 13:49:38 - 0:01:22 - 子进程5正在第23次调用api 已获取结果
INFO - 03/27/23 13:49:38 - 0:01:23 - 子进程8正在第11次调用api 已获取结果
INFO - 03/27/23 13:49:39 - 0:01:23 - 子进程9正在第10次调用api 已获取结果
INFO - 03/27/23 13:49:41 - 0:01:25 - 子进程1正在第7次调用api 已获取结果
INFO - 03/27/23 13:49:41 - 0:01:25 - 子进程5正在第24次调用api 已获取结果
INFO - 03/27/23 13:49:41 - 0:01:25 - 子进程3正在第9次调用api 已获取结果
